Multi-photon microscopy,Multi-photon ,"Two-photon excitation microscopy (TPEM)
2PEM
Three-photon excitation microscopy
3PEM","Two-photon excitation
TPEM
Three-photon excitation"
Second-harmonic imaging microscopy,Second-harmonic,"Third harmonic generation (THG)
SHIM
Second harmonic generation (SHG)","Third harmonic generation
THG
Second harmonic generation
SHG"
"Photomanipulation
",,,
,,,
,,,
"Laser microdissection
",,"Laser capture microdissection (LCM)
Laser capture microscopy
Laser catapulting
Laser dissection microscopy","microdissection
LCM

Laser dissection"
,,,
Photoactivation,,"Optogenetics
Photoconversion
Photoswitch
photobleaching",
Point-scanning microscopy,Point-scanning ,"Laser scanning microscopy
4Pi microscopy
Scanning probe microscopy
Controlled light exposure microscopy (CLEM)","Laser scanning
4Pi 
Controlled light exposure
CLEM"
Confocal microscopy,Confocal ,"Laser scanning confocal microscopy (LSCM)
Optical sectioning
Confocal laser scanning microscopy (CLSM)","LSCM

Confocal laser scanning
CLSM"
,,,
,,,
,,,
,,,
,,,
,,,
Near-field scanning optical microscopy,Near-field scanning,"Scattering-type scanning near-field optical microscopy
NSOM
Scanning near-field optical microscopy (SNOM)","Scattering-type scanning

Scanning near-field
SNOM"
Stereoscopy,,"Stereo imaging
Stereoscopics",
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
"X-ray microscopy
",,"X-ray microscope
",
"X-ray microtomography
",,"High-resolution micro-CT
Micro-computed tomography
Computed microtomography
µCT
micro-CT
micro CT
Micro computed tomography","micro-CT
Micro-computed
microtomography
Micro computed "
Multimodal imaging,Multimodal ,"Correlative imaging
Multisensor imaging
Hybrid imaging",
,,,
"Spectroscopy
",,Spectrometry,
,,,
"Fourier-transform infrared spectroscopy
","Fourier

","	
FTIR",
Mass spectrometry imaging,Mass spectrometry ,"Matrix-assisted laser desorption ionization imaging
MALDI imaging
MSI
MALDI imaging mass spectrometry (MALDI-IMS)","Matrix-assisted laser desorption ionization
MALDI
imaging mass spectrometry 
MALDI-IMS"
"Nuclear magnetic resonance spectroscopy

","Nuclear magnetic resonance 

","Magnetic resonance spectroscopy (MRS)
NMR","Magnetic resonance spectroscopy
MRS
"
"Raman imaging
","Raman 

",Coherent anti-Stokes Raman scattering microscopy (CARS),"Coherent anti-Stokes 
CARS"
Tomography,,,
Array tomography,,,
Computed tomography,,"High-resolution micro-CT
HRCT
CAT scan
Computerised axial tomography
High-resolution CT
High-resolution X-ray tomography
CT scan
X-ray tomography
CT
X-ray computed tomography","micro-CT
High-res CT
High-res X-ray tomography
"
,,,
Optical coherence tomography,Optical coherence,,
Optical projection tomography,Optical projection ,"Optical emission computed tomography
OPT
Optical computed tomography
optical-CT
optical-ECT
Optical tomography","Optical emission 

"
Optical sectioning tomography,Optical sectioning ,"2P-MOST
Structured illumination
Two-photon micro-optical sectioning microscopy
Holography
MOST
Micro-optical sectioning tomography","2P-MOST

Two-photon micro-optical sectioning

Micro-optical sectioning"
Photoacoustic tomography,Photoacoustic ,"Photoacoustic imaging
PAT",
,,,
Single-photon emission computed tomography,Single-photon emission ,SPECT,
"Soft X-ray tomography
","X-ray tomography

","Synchrotron X-ray tomographic microscopy
Cryo-SXT
Synchrotron X-ray tomography
Cryo-soft X-ray tomography
cSXT
SXT","Synchrotron X-ray 
Cryo-soft X-ray"
Ultrasonography,,"microUS
diagnostic sonography
Medical ultrasound
Ultrasound imaging",
X-ray imaging,X-ray ,,
Phase-contrast X-ray imaging,Phase-contrast X-ray,"PCI
",
