,name,summary,description
10,elastix-napari,A toolbox for rigid and nonrigid registration of images.,"Description
This plugin makes the elastix toolbox for rigid and nonrigid registration of images available in napari.
elastix is open source software, based on the well-known Insight Segmentation and Registration Toolkit (ITK). The software consists of a collection of algorithms that are commonly used to solve (medical) image registration problems. The modular design of elastix allows the user to quickly configure, test, and compare different registration methods for a specific application.
Who is This For?
With this plugin both 2D and 3D images in all file formats available in ITK can be registered.
The plugin supports various transformations including rigid, affine and bspline.
Registration within the plugin is done based on user defined parameters, but for novice users
defaults for each transformation model are available.
How to Guide
Load the images you want to register into napari and select them in the fixed (or reference) and moving image dropdowns of plugin interface.
For fast and easy registration only the preferred transformation (rigid, affine or bspline) has to be selected (see Transformations section for explanation).
For more advanced registrations the following adjustments can be made in the plugin:

Masks for both the fixed and the moving images can be selected to let elastix only include certain areas in the registration. These masks have to be loaded into napari and selected in the correct mask dropdown menus, which appear when the masks box is ticked.
Point sets for both the fixed and the moving images can de selected to use certain points to aid registration. These point set files have to be .txt files in the following format:

index/point\
  #points\
  point1 x point1 y [point1 z]\
  point2 x point2 y [point2 z]
The first line indicates whether the points are given as “indices” (of the fixed image), or as “points” (in
  physical coordinates). The second line stores the number of points that will be specified. After that the
  point data is given. For example:
point\
  3\
  2.32 5.34 -4.12\
  -1.56 0.12 9.23\
  1.00 7.34 -0.23


An initial transform file that specifies a transform that is applied before the registration is done, can be uploaded as a .txt file. For the latest file and transform formats that are supported, see the elastix manual


For the most common registration parameters adjustments can be made in the plugin GUI


Other, less common registration parameters can be adjusted by uploading custom transform parameter file(s). (Select 'custom' in the preset dropdown).



Transformations
In the plugin 3 common transformations are available as presets, other transformations can be done with the 'custom' option in the preset dropdown. The plugin then has the ability to upload custom parameter files in which other transformations can be specified.
The three common transformations are:


Rigid Transform:
Also known as a Euclidean transformation, this transform preserves the Euclidean
distance between each pair of points on the image. This includes rotation,
translation and reflection but not scaling or shearing.


Affine Transform:
This transfrom preserves
lines and parallelism, but not necessarily distance and angles. Translation,
scaling, similarity, reflection, rotation and shearing are all valid
affine transformations.


BSpline Transform:
This is a deformable transformation that preserves none of the properties mentioned in the transforms describe above.


Getting Help
If you find a bug in the elastix napari plugin, or would like support with using it, please raise an
issue on the GitHub repository.
For question specifically about the elastix toolbox we have a mailing list.
Contributions
Contributions to the elastix_napari plugin, itkelastix (the python wrapper) or elastix (the C++ core) on which the plugin is build, are welcome."
11,misic-napari-plugin,segmentation of bacteria,"misic-napari-plugin





segmentation of bacteria

This [napari] plugin was generated with [Cookiecutter] using with [@napari]'s [cookiecutter-napari-plugin] template.

Installation
You can install misic-napari-plugin via [pip]:
pip install misic-napari-plugin

License
Distributed under the terms of the [MIT] license,
""misic-napari-plugin"" is free and open source software"
12,napari-accelerated-pixel-and-object-classification,Pixel and label classification using OpenCL-based Random Forest Classifiers,"napari-accelerated-pixel-and-object-classification (APOC)





clEsperanto meets scikit-learn
A yet experimental OpenCL-based Random Forest Classifier for pixel and labeled object classification in napari.

The processed example image maize_clsm.tif
is licensed by David Legland under 
CC-BY 4.0 license
For using the accelerated pixel and object classifiers in python, check out apoc.

This napari plugin was generated with Cookiecutter using with @napari's cookiecutter-napari-plugin template.
Installation
You can install napari-accelerated-pixel-and-object-classification via pip. Note: you also need pyopencl.
conda install pyopencl
pip install napari-accelerated-pixel-and-object-classification

In case of issues in napari, make sure these dependencies are installed properly:
pip install pyclesperanto_prototype
pip install apoc

Usage
[documentation work in progress]
Open an image in napari and add a labels layer. Annotate foreground and background with two different label identifiers. You can also add a third, e.g. a membrane-like region in between to improve segmentation quality.

Click the menu Plugins > Segmentation (Accelerated Pixel and Object Classification) > Train pixel classifier. 
Consider changing the featureset. There are three options for selecting 
small (about 1 pixel sized) objects, 
medium (about 5 pixel sized) object and 
large (about 25 pixel sized) objects.
Make sure the right image and annotation layers are selected and click on Run.

The classifier was saved as temp.cl to disc. You can later re-use it by clicking the menu Plugins > OpenCL Random Forest Classifiers > Predict pixel classifier
Optional: Hide the annotation layer.
Click the menu Plugins > Segmentation (Accelerated Pixel and Object Classification) > Connected Component Labeling.
Make sure the right labels layer is selected. It is supposed to be the result layer from the pixel classification.
Select the object class identifier you used for annotating objects, that's the intensity you drew on objects in the annotation layer.
Hint: If you want to analyse touching neigbors afterwards, activate the fill gaps between labels checkbox.
Click on the Run button.

Optional: Hide the pixel classification result layer. Change the opacity of the connected component labels layer.
Add a new labels layer and annotate different object classes by drawing lines through them. 
In the following example objects with different size and shape were annotated in three classes:
* round, small
* round, large
* elongated

Click the menu Plugins > Segmentation (Accelerated Pixel and Object Classification) > Train object classifier. Select the right layers for training.
The labels layer should be the result from connected components labeling.
The annotation layer should be the just annotated object classes layer.
Select the right features for training. Click on the Run button. 
After training, the classifier will be stored to disc in the file you specified.
You can later re-use it by clicking the menu Plugins > Segmentation (Accelerated Pixel and Object Classification) > Predict label classifier

This is an experimental napari plugin. Feedback is very welcome!
Contributing
Contributions are very welcome. Tests can be run with tox, please ensure
the coverage at least stays the same before you submit a pull request.
License
Distributed under the terms of the BSD-3 license,
""napari-accelerated-pixel-and-object-classification"" is free and open source software
Issues
If you encounter any problems, please open a thread on image.sc along with a detailed description and tag @haesleinhuepf."
13,napari-aicsimageio,AICSImageIO for napari. Multiple file format reading directly into napari using pure Python.,"Features

Supports reading metadata and imaging data for:
CZI
OME-TIFF
TIFF
Any formats supported by aicsimageio
Any additional format supported by imageio



Plugin Variants

There are two variants of this plugin that are added during installation:
* aicsimageio-in-memory, which reads an image fully into memory
* aicsimageio-out-of-memory, which delays reading ZYX chunks until required.
This allows for incredible large files to be read and displayed.
Examples of Features
General Image Reading
All image file formats supported by
aicsimageio will be read and all
raw data will be available in the napari viewer.
In addition, when reading an OME-TIFF, you can view all OME metadata directly in the
napari viewer thanks to ome-types.

Mosaic CZI Reading
When reading CZI images, if the image is a mosaic tiled image, napari-aicsimageio
will return the reconstructed image:

Mosaic LIF Reading
When reading LIF images, if the image is a mosaic tiled image, napari-aicsimageio
will return the reconstructed image:

Citation
If you find aicsimageio (or napari-aicsimageio) useful, please cite as:

AICSImageIO Contributors (2021). AICSImageIO: Image Reading, Metadata Conversion, and Image Writing for Microscopy Images in Pure Python [Computer software]. GitHub. https://github.com/AllenCellModeling/aicsimageio

Free software: BSD-3-Clause"
14,napari-allencell-segmenter,A plugin that enables 3D image segmentation provided by Allen Institute for Cell Science,"napari-allencell-segmenter





A plugin that enables 3D image segmentation provided by Allen Institute for Cell Science
The Allen Cell & Structure Segmenter plugin for napari provides an intuitive graphical user interface to access the powerful segmentation capabilities of an open source 3D segmentation software package developed and maintained by the Allen Institute for Cell Science (classic workflows only with v1.0). ​The Allen Cell & Structure Segmenter is a Python-based open source toolkit developed at the Allen Institute for Cell Science for 3D segmentation of intracellular structures in fluorescence microscope images. This toolkit brings together classic image segmentation and iterative deep learning workflows first to generate initial high-quality 3D intracellular structure segmentations and then to easily curate these results to generate the ground truths for building robust and accurate deep learning models. The toolkit takes advantage of the high replicate 3D live cell image data collected at the Allen Institute for Cell Science of over 30 endogenous fluorescently tagged human induced pluripotent stem cell (hiPSC) lines. Each cell line represents a different intracellular structure with one or more distinct localization patterns within undifferentiated hiPS cells and hiPSC-derived cardiomyocytes.
More details about Segmenter can be found at https://allencell.org/segmenter

This napari plugin was generated with Cookiecutter using with @napari's cookiecutter-napari-plugin template.

Installation
Option 1 (recommended):
After you installed the lastest version of napari, you can go to ""Plugins"" --> ""Install/Uninstall Package(s)"". Then, you will be able to see all available napari plugins and you can find us by name napari-allencell-segmenter. Just click the ""install"" button to install the Segmenter plugin.
Option 2:
You can also install napari-allencell-segmenter via pip:
pip install napari-allencell-segmenter

Quick Start
In the current version, there are two parts in the plugin: workflow editor and batch processing. The workflow editor allows users adjusting parameters in all the existing workflows in the lookup table, so that the workflow can be optimized on users' data. The adjusted workflow can be saved and then applied to a large batch of files using the batch processing part of the plugin. 

Open a file in napari (the plugin is able to support multi-dimensional data in .tiff, .tif. ome.tif, .ome.tiff, .czi)
Start the plugin (open napari, go to ""Plugins"" --> ""napari-allencell-segmenter"" --> ""workflow editor"")
Select the image and channel to work on
Select a workflow based on the example image and target segmentation based on user's data. Ideally, it is recommend to start with the example with very similar morphology as user's data.
Click ""Run All"" to execute the whole workflow on the sample data.
Adjust the parameters of steps, based on the intermediate results. For instruction on the details on each function and the effect of each parameter, click the tooltip button. A complete list of all functions can be found here
Click ""Run All"" again after adjusting the parameters and repeat step 6 and 7 until the result is satisfactory.
Save the workflow
Close the plugin and open the batch processing part by (go to ""Plugins"" --> ""napari-allencell-segmenter"" --> ""batch processing"")
Load the customized workflow (or an off-the-shelf workflow) json file
Load the folder with all the images to process
Click ""Run""

Contributing
Contributions are very welcome. Tests can be run with tox, please ensure
the coverage at least stays the same before you submit a pull request.
License
Distributed under the terms of the BSD-3 license,
""napari-allencell-segmenter"" is free and open source software
Issues
If you encounter any problems, please file an issue along with a detailed description."
15,napari-animation,A plugin for making animations in napari,"napari-animation (WIP under active development)





napari-animation is a plugin for making animations in napari.

This napari plugin was generated with Cookiecutter using with @napari's cookiecutter-napari-plugin template.
It is built off of great work from @guiwitz in naparimovie which was initially submitted to napari in PR#851.

Overview
napari-animation provides a framework for the creation of animations in napari and features:
- an easy to use GUI for interactive creation of animations
- Python tools for programmatic creation of animations
This plugin is currently pre-release and under active development. APIs are likely to change before it's first 0.0.1 release,
but feedback and contributions are welcome.
Installation
You can clone this repository with install locally with
pip install -e .

Examples
Examples can be found in our examples folder. Simple examples for both interactive and headless 
use of the plugin follow.
Interactive
napari-animation can be used interactively by creating an AnimationWidget from a napari Viewer and adding it to
the viewer as a dock widget.
```python
from napari_animation import AnimationWidget
animation_widget = AnimationWidget(viewer)
viewer.window.add_dock_widget(animation_widget, area='right')
```

Headless
napari-animation can also be run headless, allowing for reproducible, scripted creation of animations.
```python
from napari_animation import Animation
animation = Animation(viewer)
viewer.dims.ndisplay = 3
viewer.camera.angles = (0.0, 0.0, 90.0)
animation.capture_keyframe()
viewer.camera.zoom = 2.4
animation.capture_keyframe()
viewer.camera.angles = (-7.0, 15.7, 62.4)
animation.capture_keyframe(steps=60)
viewer.camera.angles = (2.0, -24.4, -36.7)
animation.capture_keyframe(steps=60)
viewer.reset_view()
viewer.camera.angles = (0.0, 0.0, 90.0)
animation.capture_keyframe()
animation.animate('demo.mov', canvas_only=False)
```
Is everything animate-able?
Unfortunately, not yet! Currently differences in the following objects are tracked by the Animation class

Viewer.camera
Viewer.dims
Layer.scale
Layer.translate
Layer.rotate
Layer.shear
layer.opacity
Layer.blending
Layer.visible

Support for more layer attributes will be added in future releases.
Contributing
Contributions are very welcome. Tests and additional infrastructure are being setup.
License
Distributed under the terms of the BSD-3 license,
""napari-animation"" is free and open source software
Issues
If you encounter any problems, please file an issue along with a detailed description."
16,napari-arboretum,Track graph and lineage tree visualization with napari,"




Arboretum
Overview
A dockable widget for Napari for visualizing cell lineage trees.
Features:
+ Lineage tree plot widget
+ Integration with btrack
This project has changed considerably. The Tracks layer, originally developed for this plugin, is now an official layer type in napari. Read the napari documentation here:
 https://napari.org/api/stable/napari.layers.Tracks.html#napari.layers.Tracks
To view the legacy version of this plugin, visit the legacy branch:
https://github.com/quantumjot/arboretum/tree/v1-legacy

Automated cell tracking and lineage tree reconstruction.

Installation
We recommend that you first install napari. Detailed instructions are here: https://github.com/napari/napari.
sh
pip install 'napari[all]'
You can install arboretum directly from napari (using the Plugins > Install/Uninstall Packages(s)... menu) and searching for napari-arboretum.
Alternatively, you can install directly from source:
sh
git clone https://github.com/quantumjot/arboretum.git
cd arboretum
pip install -e .
Usage
Once installed, Arboretum will be visible in the Plugins > Add Dock Widget > napari-arboretum menu in napari.  To visualize a lineage tree, click on one of the tracks in a napari Tracks layer.
You can use btrack to generate tracks from your image data. See the example notebook here:
https://github.com/quantumjot/BayesianTracker/blob/master/examples/segmentation_to_btrack_to_napari.ipynb

TODO:

[ ] Highlight cells in the viewer from the lineage tree view
[ ] Visualize merges
[ ] Color trees by properties

"
17,napari-autolign,A plugin for registering multimodal image volumes based on common segmented structures of interest with point-clouds.,"napari-autolign





A plugin for registering multimodal image volumes based on common segmented structures of interest with point-clouds.

This napari plugin was generated with Cookiecutter using @napari's cookiecutter-napari-plugin template.

Installation
You can install napari-autolign via pip:
pip install napari-autolign

When installing autolign on a Windows machine you may encounter the following error:
error Microsoft Visual C++ 14.0 is required

Ensure that Visual Studios C++ 14.00 is installed
Contributing
Contributions are very welcome. Tests can be run with tox, please ensure
the coverage at least stays the same before you submit a pull request.
License
Distributed under the terms of the MIT license,
""napari-autolign"" is free and open source software
Issues
If you encounter any problems, please file an issue along with a detailed description."
18,napari-bioformats,"Bioformats for napari, using pims","napari-bioformats






Bioformats plugin for napari using
pims-bioformats

Use this plugin as a fallback!
Anyone coming to napari from the Fiji/ImageJ world will likely be aware of the
incredible Bio-Formats
library.  A heroic effort, built over years, to read
more than a 100 file formats.  Naturally, we want some of that goodness for napari ... hence this plugin.
However: it's important to note that this plugin still
requires having a java runtime engine installed.  This is easy enough to do
(the plugin will ask to install it for you if you're in a conda environment), but
it definitely makes for a more complicated environment setup, it's not very
""pythonic"", and the performance will likely not feel as snappy as a native ""pure""
python module.
So, before you reflexively install this plugin to fill that bio-formats
sized hole in your python heart, consider trying some of the other pure-python
plugins designed to read your format of interest:

Zeiss (.czi): napari-aicsimageio, napari-czifile2
Nikon (.nd2): napari-nikon-nd2, nd2-dask
Leica (.lif): napari-aicsimageio
Olympus (.oif): no plugin?  (but see oiffile )
DeltaVision (.dv, .mrc): napari-dv


if you have a pure-python reader for a bio-formats-supported file format that
you'd like to see added to this list, please open an issue

Installation
The easiest way to install napari-bioformats is via conda, from the
conda-forge channel:
conda install -c conda-forge napari-bioformats

It is also possible to install via pip, but you will need to have a working
JVM installed, and may need to set the JAVA_HOME environment variable
pip install napari-bioformats

First Usage
The first time you attempt to open a file with napari-bioformats, you will
likely notice a long delay as pims downloads the loci_tools.jar (speed will
depend on your internet connection). Subsequent files should open more quickly.
License
Distributed under the terms of the GPLv3 license,
""napari-bioformats"" is free and open source software
Issues
If you encounter any problems, please file an issue along with a detailed description.
This napari plugin was generated with Cookiecutter using with @napari's cookiecutter-napari-plugin template."
19,napari-brightness-contrast,Advanced layer visualization options,"napari-brightness-contrast





Advanced layer histogram visualization options, e.g. for brightness / contrast

Note: This will not work for big image data at the moment. 
If the user interface feels slow, consider installing pyclesperanto to speed it up.

This napari plugin was generated with Cookiecutter using with @napari's cookiecutter-napari-plugin template.

Installation
You can install napari-brightness-contrast via pip:
pip install napari-brightness-contrast

Contributing
Contributions are very welcome.
License
Distributed under the terms of the BSD-3 license,
""napari-brightness-contrast"" is free and open source software
Issues
If you encounter any problems, please open a thread on image.sc along with a detailed description and tag @haesleinhuepf."
20,napari-brushsettings,A simple plugin to set the brush settings for segmentation in napari,The developer has not yet provided a napari-hub specific description.
21,napari-btrack-reader,A plugin to load btrack files,"napari-btrack-reader





A plugin to load btrack files

This plugin reads tracking data generated by BayesianTracker (btrack).
This napari plugin was generated with Cookiecutter using with @napari's cookiecutter-napari-plugin template.

Installation
You can install napari-btrack-reader via pip:
pip install napari-btrack-reader

Contributing
Contributions are very welcome. Tests can be run with tox, please ensure
the coverage at least stays the same before you submit a pull request.
License
Distributed under the terms of the BSD-3 license,
""napari-btrack-reader"" is free and open source software
Issues
If you encounter any problems, please file an issue along with a detailed description."
22,napari-ccp4map,Enables napari to read .map files in the ccp4 format. Drag&Drop or press Ctrl+O to read files.,The developer has not yet provided a napari-hub specific description.
23,napari-checkerboard,Compare two images with the itk checkerboard filter,"napari-checkerboard





Compare two images with the itk checkerboard filter


This napari plugin was generated with Cookiecutter using with @napari's cookiecutter-napari-plugin template.

Installation
You can install napari-checkerboard via pip:
pip install napari-checkerboard

Contributing
Contributions are very welcome. Tests can be run with tox, please ensure
the coverage at least stays the same before you submit a pull request.
License
Distributed under the terms of the Apache Software License 2.0 license,
""napari-checkerboard"" is free and open source software
Issues
If you encounter any problems, please file an issue along with a detailed description."
24,napari-clemreg,A plugin for registering multimodal image volumes based on common segmented structures of interest with point-clouds.,"napari-clemreg





A plugin for registering multimodal image volumes based on common segmented structures of interest with point-clouds.

This napari plugin was generated with Cookiecutter using @napari's cookiecutter-napari-plugin template.

Installation
You can install napari-clemreg via pip:
pip install napari-clemreg

When installing clemreg on a Windows machine you may encounter the following error:
error Microsoft Visual C++ 14.0 is required

Ensure that Visual Studios C++ 14.00 is installed
Contributing
Contributions are very welcome. Tests can be run with tox, please ensure
the coverage at least stays the same before you submit a pull request.
License
Distributed under the terms of the MIT license,
""napari-clemreg"" is free and open source software
Issues
If you encounter any problems, please file an issue along with a detailed description."
25,napari-compressed-labels-io,Plugin exploring different options for reading and writing compressed and portable labels layers in napari.,"napari-compressed-labels-io





Description
This napari plugin provides readers and writers for labels and their corresponding image layers into zarr format for compression and portability. Each reader/writer pair supports a round trip of saving and loading image and labels layers.
Writers
Two writers are provided by this plugin, each with its own reader.
labels_to_zarr
This writer is an alternative to napari's default label writer and will write an entire labels layer, regardless of its dimensions, into a single zarr file. This writer provides the best compression option and its associated reader get_zarr_labels will read the layer back into napari.
This writer will be called when the user tries to save a selected labels layer into a path ending with .zarr
label_image_pairs_to_zarr
This writer will save 3-dimensional labels and image layers from the viewer into individual zarrs for portability and convenience. For example, given one labels and one image layer of the shape (10, 200, 200) saved to my_stacks.zarr, 10 subdirectories will be created, each with two zarrs inside of shape (200, 200) corresponding to the labels and image layer.
This writer allows users to load stacks of associated images, label them, and then quickly save these stacks out into individual slices for easy loading, viewing and interaction. Its associated reader supports the loading into napari of the whole stack, all layers at one slice of the stack, and an individual layer of a given slice of the stack.
The writer currently supports only 3D layers, with the exception of RGB images of the form (z, y, x, 3), which are also supported.
Readers
Two readers are provided by this plugin for loading the formats saved by each writer. These are detailed below.
get_zarr_labels
This reader will open any zarr file with a .zarray at the top level in path as a labels layer. This is to be used in conjunction with labels_to_zarr.
get_label_image_stack
This reader will open any zarr containing a .zmeta file as layers into napari. Depending on what is being opened, the reader will either load a full stack of labels and images, one slice of a stack of images and labels or an individual layer within a slice. This is to be used in conjunction with label_image_pairs_to_zarr.
.zmeta
This metadata file contains information about the layer types in the stack and in each individual slice, as well as the number of image/label slices. This allows the reader plugin to load the correct layer types with appropriate names both at a stack level and at the individual slice level.
An example .zmeta specification
```json
{
    ""meta"": {
        ""stack"": 7                               # number of slices in the entire stack (1 for an individual slice, 0 for a layer within a slice)
    },
    ""data"": {
        ""image"" : [                              # all image layers must be listed here
            {
                ""name"": ""leaves_example_data"",
                ""shape"": [790, 790, 3],
                ""dtype"": ""uint8"",
                ""rgb"": true                      # where rgb is false the image will be loaded as greyscale (colormap support has not yet been implemented)
            }
        ],
        ""labels"" : [
            {
                ""name"": ""oak"",
                ""shape"": [790, 790],
                ""dtype"": ""int64""
            },
            {
                ""name"": ""bg"",
                ""shape"": [790, 790],
                ""dtype"": ""int64""
            }
        ]
    }
}
```

This napari plugin was generated with Cookiecutter using with @napari's cookiecutter-napari-plugin template.

Installation
You can install napari-compressed-labels-io via pip:
pip install napari-compressed-labels-io

Contributing
Contributions are very welcome. Tests can be run with tox, please ensure
the coverage at least stays the same before you submit a pull request.
License
Distributed under the terms of the MIT license,
""napari-compressed-labels-io"" is free and open source software
Issues
If you encounter any problems, please file an issue along with a detailed description."
26,napari-console,A plugin that adds a console to napari,"napari-console (WIP, under active development)





A plugin that adds a console to napari

This napari plugin was generated with Cookiecutter using with @napari's cookiecutter-napari-plugin template.

Installation
You can install napari-console via pip:
pip install napari-console

Contributing
Contributions are very welcome. Tests can be run with tox, please ensure
the coverage at least stays the same before you submit a pull request.
License
Distributed under the terms of the BSD-3 license,
""napari-console"" is free and open source software
Issues
If you encounter any problems, please file an issue along with a detailed description."
27,napari-czifile,A napari plugin for reading files via czifile,
28,napari-czifile2,Carl Zeiss Image (.czi) file support for napari,"napari-czifile2















Carl Zeiss Image (.czi) file type support for napari
Open .czi files and interactively view scenes co-registered in the machine's coordinate system using napari
Installation
You can install napari-czifile2 via pip:
pip install napari-czifile2

Authors
Created and maintained by Jonas Windhager jonas.windhager@uzh.ch
Contributing
Contributing
Changelog
Changelog
License
MIT"
29,napari-deepmeta,Segment mouse lungs and metastasis on MRI images.,"napari-deepmeta





Segment mouse lungs and metastasis on MRI images.
This plugin is a demo for the Deepmeta project.


This napari plugin was generated with Cookiecutter using with @napari's cookiecutter-napari-plugin template.

Installation
You can install napari-deepmeta via pip:
pip install napari-deepmeta


We advise you to create a specific python virtual environment in order to have a clean installation.

Usage
In a terminal, just type napari to open napari.
Open a (x, 128, 128) image, go in the plugin menu, add deepmeta plugin to the dock viewer and click on the button.

By adding the dock widget, a menu will be created on the left of your Napari instance.

In this panel you will find two buttons and one checkbox:

The first button Run lung seg process segmentation and show the result (With the widget segment metas, the button is called Run meta seg).
The second, Reprocess Volume, is useful when you modify contours. It will reprocess all slices to give you a new volume.
The checkbox is here to enhance contrast if your image is dark.

Demo
If you just want to see what we've done, you can try the plugin with the Demo button, this button will load an image and process it
as if you use the plugin in a classic way.
Conf file and custom models
The first time you run the plugin a config file will be created at ~/.config/deepmeta/config.ini.

In this file you can find parameters for postprocessing loop and the path for the models.
Feel free to change values and colors to fit to your needs.

If you want to try another model, you can change the path. Be careful to not having custom objects in you model, otherwise, you'll have to modify the code.

Contributing
Contributions are very welcome. Tests can be run with tox, please ensure
the coverage at least stays the same before you submit a pull request.
License
Distributed under the terms of the MIT license,
""napari-deepmeta"" is free and open source software
Issues
If you encounter any problems, please file an issue along with a detailed description."
30,napari-dexp,A simple plugin to use with napari,"napari-DEXP





A plugin to interface DEXP with napari.

This napari plugin was generated with Cookiecutter using with @napari's cookiecutter-napari-plugin template.

Installation
You can install napari-dexp via pip:
pip install napari-dexp

Contributing
Contributions are very welcome. Tests can be run with tox, please ensure
the coverage at least stays the same before you submit a pull request.
License
Distributed under the terms of the BSD-3 license,
""napari-dexp"" is free and open source software
Issues
If you encounter any problems, please file an issue along with a detailed description."
31,napari-dv,Deltavision/MRC file reader for napari,"napari-dv





Deltavision/MRC file reader for napari
Installation
You can install napari-dv via pip:
pip install napari-dv

Contributing
Contributions are very welcome. Tests can be run with tox, please ensure
the coverage at least stays the same before you submit a pull request.
License
Distributed under the terms of the MIT license,
""napari-dv"" is free and open source software
Issues
If you encounter any problems, please file an issue along with a detailed description."
32,napari-dvid,"DVID loader for napari, from a url","napari-dvid





DVID loader for napari, from a url

This napari plugin was generated with Cookiecutter using with @napari's cookiecutter-napari-plugin template.

Installation
You can install napari-dvid via pip:
pip install napari-dvid

Examples
Once installed, run napari --with napari-dvid to get the plugin sidebar:

Paste in a URL to a DVID volume and hit ""Load"" to load the volume! As an example, try:
https://emdata.janelia.org/api/node/ab6e610d4/grayscale/raw/0_1_2/256_256_256/7500_7000_4400
Contributing
Contributions are very welcome. Tests can be run with tox, please ensure
the coverage at least stays the same before you submit a pull request.
License
Distributed under the terms of the MIT license,
""napari-dvid"" is free and open source software
Issues
If you encounter any problems, please file an issue along with a detailed description."
33,napari-dzi-zarr,An experimental plugin for viewing Deep Zoom Images (DZI) with napari and zarr.,"napari-dzi-zarr




An experimental plugin for viewing Deep Zoom Images (DZI) with napari + zarr + dask.

This napari plugin was generated with Cookiecutter using with @napari's cookiecutter-napari-plugin template.
Description
The DZI File Format 
is a pyramidal tile source specification where individual tiles are RGB/RGBA JPEG/PNG images. 
DZI is a very popular tile source for zoomable web-viewers like 
OpenSeadragon, and as a result many tile sources are available over 
HTTP. This plugin wraps a DZI tile source (local or remote) as a multiscale Zarr, where each pyramidal level is a zarr.Array of shape (level_height, level_width, 3/4), allowing the same images to be viewed 
in napari + dask.
Installation
You can install napari-dzi-zarr via pip:
pip install napari-dzi-zarr

Usage
This high-resolution scan of Rembrandt's Night Watch is available thanks to R.G Erdmann. More examples can be found on boschproject.org.
$ napari http://hyper-resolution.org/dzi/Rijksmuseum/SK-C-5/SK-C-5_VIS_20-um_2019-12-21.dzi


Contributing
Contributions are very welcome. Tests can be run with tox.
License
Distributed under the terms of the BSD-3 license,
""napari-dzi-zarr"" is free and open source software
Issues
If you encounter any problems, please file an issue along with a detailed description."
34,napari-em-reader,A napari plugin to read .em files,"napari-em-reader





A napari plugin to read .em files

This napari plugin was generated with Cookiecutter using with @napari's cookiecutter-napari-plugin template.

Installation
You can install napari-em-reader via pip:
pip install napari-em-reader

Contributing
Contributions are very welcome. Tests can be run with tox, please ensure
the coverage at least stays the same before you submit a pull request.
License
Distributed under the terms of the BSD-3 license,
""napari-em-reader"" is free and open source software
Issues
If you encounter any problems, please file an issue along with a detailed description."
35,napari-features,"extensible, general-purpose feature extraction",
36,napari-folder-browser,Browse folders of images and open them using double-click,"napari-folder-browser





Browse folders of images and open them using double-click or . You can also navigate through the list using arrow up/down keys.


This napari plugin was generated with Cookiecutter using with @napari's cookiecutter-napari-plugin template.
Installation
You can install napari-folder-browser from within napari by clicking menu Plugins > Install/uninstall Plugins... and entering here:

You can install napari-folder-browser via pip:
pip install napari-folder-browser

Contributing
Contributions are very welcome. Tests can be run with tox, please ensure
the coverage at least stays the same before you submit a pull request.
License
Distributed under the terms of the BSD-3 license,
""napari-folder-browser"" is free and open source software
Issues
If you encounter any problems, please create a thread on image.sc along with a detailed description and tag @haesleinhuepf."
37,napari-hdf5-labels-io,Napari plugin to store set of layers in a .h5 file. Label layer are stored in a sparse representation,"Description
This IO plugin lets you to store your progress in a single file (.h5 extension). It stores not only the layer's data but also its metadata, meaning that in some way, this IO can be seen as a project file generator.
The current supported layer types are: images, labels and dots.
This plugin was developed to create a connection between napari (for labeling) and YAPiC (a deep learning segmentation tool).
Who is this for?
This plugin is meant to be used for any napari user wanting to store their progress in a single file and for those which use napari as a labeling tool.
It supports any data dimensionality and it was designed to improve the memory efficiency when storing label layers.
Additionally, YAPiC supports the files generated by this IO to perform image segmentation.
Quick start
Saving .h5 files
With napari-hdf5-labels-io installed, use napari as alway. once you are done, click in File, click in Save Selected Layer(s)... (Ctrl+S) or Save All Layers... (Ctrl+Shift+S) and write the output file name as filename.h5. Including the "".h5"" extension at the end of the name will automatically activate the plugin.
Opening .h5 files
To open a .h5 file written with this plugin, you can open this file as any other (either by the Open File option in the File menu or dragging it to the main window)."
38,napari-imagecodecs,A napari plugin for reading files via imagecodecs,
39,napari-imc,Imaging Mass Cytometry (IMC) file type support for napari,"Supported file formats:
 - Fluidigm® MCD™
 - Fluidigm® TXT
Supported image types:
  - Panoramas (single-channel, color)
  - Acquisitions (multi-channel, grayscale)
All images are loaded co-registered within the machine's coordinate system."
40,napari-itk-io,File IO with itk for napari,"napari-itk-io





File IO with itk for napari.
Supported image file formats:

BioRad
BMP
DICOM
DICOM Series
ITK HDF5
JPEG
GE4,GE5,GEAdw
Gipl (Guys Image Processing Lab)
LSM
MetaImage
MINC 2.0
MGH
MRC
NifTi
NRRD
Portable Network Graphics (PNG)
Tagged Image File Format (TIFF)
VTK legacy file format for images

For DICOM Series, select the folder containing the series with File -> Open
Folder.... The first series will be selected and sorted spatially.
Installation
You can install napari-itk-io via pip:
pip install napari-itk-io

Contributing
Contributions are very welcome. Tests can be run with tox, please ensure
the coverage at least stays the same before you submit a pull request.
Follow the itk contributing
guidelines
and the itk code of
conduct.
License
Distributed under the terms of the Apache Software License 2.0 license,
""napari-itk-io"" is free and open source software.
Issues
If you encounter any problems, please file an issue along with a detailed description."
