name of plugin,plugin description - text
brainreg-segment,"brainreg-segment
Manual segmentation of 3D brain structures in a common anatomical space


Segmentation of 1/2/3D brain structures in a common anatomical space

brainreg-segment is a companion to brainreg allowing manual segmentation of regions/objects within the brain (e.g. injection sites, probes etc.) allowing for automated analysis of brain region distribution, and visualisation (e.g. in brainrender).

Installation
brainreg-segment comes bundled with brainreg, so see the brainreg installation instructions.

brainreg-segment can be installed on it's own (pip install brainreg-segment), but you will need to register your data with brainreg first.

Usage
See user guide.

If you have any questions, head over to the image.sc forum.

Citing brainreg-segment
If you find brainreg-segment useful, and use it in your research, please let us know and also cite the preprint:

Tyson, A. L., Vélez-Fort, M., Rousseau, C. V., Cossell, L., Tsitoura, C., Obenhaus, H. A., Claudi, F., Lenzi, S. C., Branco, T., Margrie, T. W. (2021) “Tools for accurate post hoc determination of marker location within whole-brain microscopy images’ bioRxiv, doi.org/10.1101/2021.05.21.445133
Abstract
To interpret in vivo experiments designed to understand brain function, high-resolution whole-brain microscopy provides a means for post hoc determination of the location of implanted devices and recorded cells in three dimensional brain space that is a critical step for data interrogation. Here we have developed Python-based tools (brainreg and brainreg-segment) to accurately map, in a common coordinate space, the position of dye-labelled probe tracks and two-photon imaged cell populations expressing fluorescent protein. The precise location of probes and cells were validated using physiological recordings and human raters that indicate accuracy levels to less than 70µm. These flexible, open-source methodologies are expected to further evolve with need and to deliver the anatomical precision that is necessary for understanding the functional architecture of the brain."
,
,
brainreg-napari,"brainreg-napari
Multi-atlas whole-brain microscopy registration
Installation
1
pip install brainreg-napari
Usage
Documentation for the plugin is to come, but documentation for the original brainreg can be found here and a tutorial is here.
For segmentation of bulk structures in 3D space (e.g. injection sites, Neuropixels probes), please see brainreg-segment.
This software is at a very early stage, and was written with our data in mind. Over time we hope to support other data types/formats. If you have any issues, please get in touch on the forum or by raising an issue.
If you have any other questions, please send an email.
Details
brainreg is an update to amap (itself a port of the original Java software) to include multiple registration backends, and to support the many atlases provided by bg-atlasapi.
The aim of brainreg is to register the template brain (e.g. from the Allen Reference Atlas) to the sample image. Once this is complete, any other image in the template space can be aligned with the sample (such as region annotations, for segmentation of the sample image). The template to sample transformation can also be inverted, allowing sample images to be aligned in a common coordinate space.
To do this, the template and sample images are filtered, and then registered in a three step process (reorientation, affine registration, and freeform registration.) The resulting transform from template to standard space is then applied to the atlas.
Full details of the process are in the original aMAP paper.   Overview of the registration process
Citing brainreg
If you find brainreg useful, and use it in your research, please let us know and also cite the preprint:
Tyson, A. L., Vélez-Fort, M., Rousseau, C. V., Cossell, L., Tsitoura, C., Obenhaus, H. A., Claudi, F., Lenzi, S. C., Branco, T., Margrie, T. W. (2021) “Tools for accurate post hoc determination of marker location within whole-brain microscopy images’ bioRxiv, doi.org/10.1101/2021.05.21.445133
Please also cite aMAP (the original pipeline from which this software is based):
Niedworok, C.J., Brown, A.P.Y., Jorge Cardoso, M., Osten, P., Ourselin, S., Modat, M. and Margrie, T.W., (2016). AMAP is a validated pipeline for registration and segmentation of high-resolution mouse brain data. Nature Communications. 7, 1–9. https://doi.org/10.1038/ncomms11879
Lastly, if you can, please cite the BrainGlobe Atlas API that provided the atlas:
Claudi, F., Petrucco, L., Tyson, A. L., Branco, T., Margrie, T. W. and Portugues, R. (2020). BrainGlobe Atlas API: a common interface for neuroanatomical atlases. Journal of Open Source Software, 5(54), 2668, https://doi.org/10.21105/joss.02668

"
,
napari-skimage-regionprops,"napari-skimage-regionprops
A regionprops table widget plugin for napari
 
 
 
A napari plugin for measuring properties of labeled objects based on scikit-image

Features
The user can select categories of features for feature extraction in the user interface. These categories contain measurements from the scikit-image regionprops list of measurements library:
•	size:
o	area
o	bbox_area
o	convex_area
o	equivalent_diameter
•	intensity:
o	max_intensity
o	mean_intensity
o	min_intensity
o	standard_deviation_intensity (extra_properties implementation using numpy)
•	perimeter:
o	perimeter
o	perimeter_crofton
•	shape
o	major_axis_length
o	minor_axis_length
o	orientation
o	solidity
o	eccentricity
o	extent
o	feret_diameter_max
o	local_centroid
•	position:
o	centroid
o	bbox
o	weighted_centroid
•	moments:
o	moments
o	moments_central
o	moments_hu
o	moments_normalized
This napari plugin was generated with Cookiecutter using with @napari's cookiecutter-napari-plugin template.
Installation
You can install napari-skimage-regionprops via pip:
1
pip install napari-skimage-regionprops
Or if you plan to develop it:
1
2
3
4
5
git clone https://github.com/haesleinhuepf/napari-skimage-regionprops

cd napari-skimage-regionprops

pip install -e .
If there is an error message suggesting that git is not installed, run conda install git.
Contributing
Contributions are very welcome. Tests can be run with tox, please ensure
the coverage at least stays the same before you submit a pull request.
License
Distributed under the terms of the BSD-3 license,
""napari-skimage-regionprops"" is free and open source software
Issues
If you encounter any problems, please create a thread on image.sc along with a detailed description and tag @haesleinhuepf.
Install
Sign up to receive updates
Subscribe
AboutFAQPrivacyContactGitHub repo
napari hub | plugins

"
,
,
napari-yapic-prediction,"napari-yapic-prediction
Napari widget plugin to perform yapic model segmentation prediction in the napari window
napari widget plugin to perform YAPiC model segmentation prediction in the napari window.
________________________________________
This napari plugin was generated with Cookiecutter using with @napari's cookiecutter-napari-plugin template.
Description
This napari plugin provides a widget to upload a YAPiC trained model and perform segmentation over all the present images in the napari window. The segmentation results are uploaded as napari layers into the viewer automatically with the name structure of imgename_prediction.
Installation
1.	Please install either GPU or CPU version of tensorflow before installing the plugin depending on your system.
One of the plugin dependency is yapic that currently has sensitivity to tensorflow versions. This behaviour will be removed in future.
2.	You can install napari-yapic-prediction via pip:
pip install napari-yapic-prediction
Contributing
Contributions are very welcome. Tests can be run with tox, please ensure the coverage at least stays the same before you submit a pull request.
"
,
napari-omero,"napari-omero
napari/OMERO interoperability
This package provides interoperability between the OMERO image management platform, and napari: a fast, multi-dimensional image viewer for python.
It provides a GUI interface for browsing an OMERO instance from within napari, as well as command line interface extensions for both OMERO and napari CLIs.

Features
•	GUI interface to browse remote OMERO data, with thumbnail previews.
•	Loads remote nD images from an OMERO server into napari
•	Planes are loading on demand as sliders are moved (""lazy loading"").
•	session management (login memory)
•	OMERO rendering settings (contrast limits, colormaps, active channels, current Z/T position) are applied in napari
as a napari dock widget
To launch napari with the OMERO browser added, install this package and run:
1
napari_omero
The OMERO browser widget can also be manually added to the napari viewer:
1
2
3
4
5
6
import napari
from napari_omero import OMEROWidget

with napari.gui_qt():
    viewer = napari.Viewer()
    viewer.window.add_dock_widget(OMEROWidget(), area=""right"")
as a napari plugin
This package provides a napari reader plugin that accepts OMERO resources as ""proxy strings"" (e.g. Image:<ID>) or as OMERO webclient URLS.
1
2
3
4
5
6
7
viewer = napari.Viewer()

# omero object identifier string
viewer.open(""Image:1"", plugin=""omero"")

# or URLS: https://help.openmicroscopy.org/urls-to-data.html
viewer.open(""http://yourdomain.example.org/omero/webclient/?show=image-314"")
these will also work on the napari command line interface, e.g.:
1
2
3
napari Image:1
# or
napari http://yourdomain.example.org/omero/webclient/?show=image-314
as an OMERO CLI plugin
This package also serves as a plugin to the OMERO CLI
1
omero napari view Image:1
•	ROIs created in napari can be saved back to OMERO via a ""Save ROIs"" button.
•	napari viewer console has BlitzGateway 'conn' and 'omero_image' in context.
installation
Requires python 3.7 - 3.9.
It's easiest to install omero-py from conda, so the recommended install procedure is to first create a new conda environment (here called ""omero"") with omero-py installed from the ome channel, and then use pip to install napari-omero (until we have a conda package available).
1
2
3
conda create -n omero -c ome python=3.7 omero-py
conda activate omero
pip install napari-omero
issues
❗	This is alpha software & some things will be broken or sub-optimal!
•	experimental & definitely still buggy! Bug reports are welcome!
•	remote loading can be very slow still... though this is not strictly an issue of this plugin. Datasets are wrapped as delayed dask stacks, and remote data fetching time can be significant. Plans for asynchronous rendering in napari and tiled loading from OMERO may eventually improve the subjective performance... but remote data loading will likely always be a limitation here.
contributing
Contributions are welcome! To get setup with a development environment:
1
2
3
4
5
6
7
8
# clone this repo:
git clone https://github.com/tlambert03/napari-omero.git
# change into the new directory
cd napari-omero
# create conda environment
conda env create -f environment.yml
# activate the new env
conda activate napari-omero
To maintain good code quality, this repo uses flake8, mypy, and black. To enforce code quality when you commit code, you can install pre-commit
1
2
# install pre-commit which will run code checks prior to commits
pre-commit install
The original OMERO data loader and CLI extension was created by Will Moore.
The napari reader plugin and GUI browser was created by Talley Lambert

"
